show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s200001,Movie,The Hidden Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Ryan Gosling",United States,2022-06-15,2022,PG-13,128 min,"Thriller, Mystery","A mysterious investigation uncovers hidden truths."
s200002,TV Show,A Lost City,Steven Spielberg,"Aamir Khan, Deepika Padukone, Alia Bhatt",India,2021-03-22,2020,TV-14,2 Seasons,"Drama, Romance","A heartwarming tale of friendship and love."
s200003,Movie,Golden Journey,Greta Gerwig,"Emma Stone, Robert Downey Jr., Chris Evans",United Kingdom,2020-11-05,2019,PG,110 min,"Adventure, Family","An action-packed adventure across the world."
s200004,Movie,Dark Code,David Fincher,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Canada,2023-01-10,2023,R,142 min,"Crime, Thriller","A thrilling story of survival and courage."
s200005,TV Show,Silent World,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2019-08-17,2018,TV-MA,3 Seasons,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
s200006,Movie,Red Dream,Taika Waititi,"Vijay, Ajith, Suriya, Dhanush",India,2024-05-21,2024,PG,135 min,"Comedy, Drama","A heartwarming tale of friendship and love."
s200007,Movie,Last Story,Martin Scorsese,"Leonardo DiCaprio, Robert Downey Jr., Scarlett Johansson",United States,2018-09-09,2017,R,156 min,"Drama, Crime","A thrilling story of survival and courage."
s200008,TV Show,Bright City,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Emma Stone",Germany,2020-02-14,2019,TV-MA,4 Seasons,"Action, Thriller","An action-packed adventure across the world."
s200009,Movie,Hidden Secret,James Cameron,"Chris Evans, Scarlett Johansson, Tom Hanks",Australia,2021-12-01,2021,PG-13,124 min,"Sci-Fi, Adventure","A mysterious investigation uncovers hidden truths."
s200010,TV Show,Silent Night,Anurag Kashyap,"Shah Rukh Khan, Aamir Khan, Deepika Padukone",India,2022-07-19,2022,TV-14,1 Season,"Drama, Romance","A heartwarming tale of friendship and love."
s200011,Movie,Lost Dream,Denis Villeneuve,"Ryan Gosling, Emma Stone, Tom Hanks",France,2023-03-12,2020,PG,118 min,"Romance, Drama","A heartwarming tale of friendship and love."
s200012,Movie,Golden World,Steven Spielberg,"Robert Downey Jr., Chris Evans, Tom Hanks",United States,2017-04-02,2016,PG-13,132 min,"Adventure, Fantasy","An action-packed adventure across the world."
s200013,TV Show,Dark City,Bong Joon-ho,"Song Kang-ho, Lee Byung-hun, Park Seo-joon",South Korea,2024-01-08,2023,TV-MA,5 Seasons,"Crime, Mystery","A mysterious investigation uncovers hidden truths."
s200014,Movie,Bright Journey,Rajkumar Hirani,"Vijay, Ajith, Suriya, Dhanush",India,2019-10-11,2019,PG,145 min,"Action, Adventure","An action-packed adventure across the world."
s200015,Movie,Silent Code,David Fincher,"Leonardo DiCaprio, Emma Stone, Scarlett Johansson",Spain,2020-06-23,2020,R,139 min,"Thriller, Crime","A thrilling story of survival and courage."
s200016,TV Show,Hidden World,Greta Gerwig,"Emma Stone, Ryan Gosling, Tom Hanks",Canada,2021-05-15,2021,TV-PG,2 Seasons,"Family, Comedy","A heartwarming tale of friendship and love."
s200017,Movie,Last Night,Christopher Nolan,"Tom Hanks, Scarlett Johansson, Robert Downey Jr.",United States,2022-09-28,2022,PG-13,121 min,"Mystery, Thriller","A mysterious investigation uncovers hidden truths."
s200018,TV Show,Red City,Taika Waititi,"Chris Evans, Emma Stone, Ryan Gosling",United Kingdom,2023-10-07,2023,TV-14,3 Seasons,"Comedy, Drama","A heartwarming tale of friendship and love."
s200019,Movie,Dark Journey,Denis Villeneuve,"Leonardo DiCaprio, Tom Hanks, Emma Stone",Germany,2018-01-19,2017,R,151 min,"Sci-Fi, Thriller","A thrilling story of survival and courage."
s200020,Movie,Hidden Dream,Park Chan-wook,"Lee Byung-hun, Park Seo-joon, Song Kang-ho",South Korea,2019-03-30,2019,TV-MA,127 min,"Mystery, Crime","A mysterious investigation uncovers hidden truths."
